OperationName,File,Category,WASM_Priority,WASM_Rationale
a,AffineCipherDecode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
BSONSerialise,BSONSerialise.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Built in formats,DateTimeDelta.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Built in formats,ParseDateTime.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Built in formats,TranslateDateTimeFormat.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Built in regexes,RegularExpression.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
By,Reverse.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Bzip2Compress,Bzip2Compress.mjs,compression,High,Kompresja/dekompresja to typowy hot path CPU; duży zysk z WASM (Rust).
Bzip2Decompress,Bzip2Decompress.mjs,compression,High,Kompresja/dekompresja to typowy hot path CPU; duży zysk z WASM (Rust).
CaesarBoxCipher,CaesarBoxCipher.mjs,crypto/hash,Medium,Crypto: preferuj WebCrypto; WASM przydatny dla algorytmów poza WebCrypto lub bulk/streaming.
Capacity,Shake.mjs,crypto/hash,Medium,Hash: WebCrypto gdy dostępne; WASM ma sens dla dużych danych lub brakujących algorytmów.
CaretMdecode,CaretMdecode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
CartesianProduct,CartesianProduct.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
CBORDecode,CBORDecode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
CBOREncode,CBOREncode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
Cell delimiters,ToTable.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
CetaceanCipherDecode,CetaceanCipherDecode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
CetaceanCipherEncode,CetaceanCipherEncode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
ChiSquare,ChiSquare.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
CipherSaber2Decrypt,CipherSaber2Decrypt.mjs,crypto/hash,Medium,Crypto: preferuj WebCrypto; WASM przydatny dla algorytmów poza WebCrypto lub bulk/streaming.
CipherSaber2Encrypt,CipherSaber2Encrypt.mjs,crypto/hash,Medium,Crypto: preferuj WebCrypto; WASM przydatny dla algorytmów poza WebCrypto lub bulk/streaming.
CitrixCTX1Decode,CitrixCTX1Decode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
CitrixCTX1Encode,CitrixCTX1Encode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
Colossus,Colossus.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Comment,Comment.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ContainImage,ContainImage.mjs,media,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Convert,ToHexContent.mjs,encoding/cipher,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
Convert all characters,ToHTMLEntity.mjs,parsing/format,Low,Parsing tekstowy zwykle OK w JS; WASM tylko po profilowaniu i dla dużych payloadów.
ConvertImageFormat,ConvertImageFormat.mjs,media,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ConvertLeetSpeak,ConvertLeetSpeak.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ConvertToNATOAlphabet,ConvertToNATOAlphabet.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
CoverImage,CoverImage.mjs,media,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
CRCChecksum,CRCChecksum.mjs,crypto/hash,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
CropImage,CropImage.mjs,media,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
CSS selector,CSSSelector.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
CSVToJSON,CSVToJSON.mjs,parsing/format,Low,Parsing tekstowy zwykle OK w JS; WASM tylko po profilowaniu i dla dużych payloadów.
CTPH,CTPH.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Data format,SwapEndianness.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
DechunkHTTPResponse,DechunkHTTPResponse.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
DefangIPAddresses,DefangIPAddresses.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
DefangURL,DefangURL.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Delimiter,CompareCTPHHashes.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Delimiter,CompareSSDEEPHashes.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Delimiter,Divide.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Delimiter,ExpandAlphabetRange.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Delimiter,Filter.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Delimiter,FromBinary.mjs,encoding/cipher,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
Delimiter,FromCharcode.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Delimiter,FromDecimal.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Delimiter,FromOctal.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Delimiter,GroupIPAddresses.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Delimiter,HammingDistance.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Delimiter,Head.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Delimiter,Mean.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Delimiter,Median.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Delimiter,Multiply.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Delimiter,Sort.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Delimiter,StandardDeviation.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Delimiter,Subtract.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Delimiter,Sum.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Delimiter,Tail.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Delimiter,ToBinary.mjs,encoding/cipher,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
Delimiter,ToCharcode.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Delimiter,ToDecimal.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Delimiter,ToOctal.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Depth,Magic.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
DetectFileType,DetectFileType.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Digest length,Streebog.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Display total,ExtractDates.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
DitherImage,DitherImage.mjs,media,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
DNSOverHTTPS,DNSOverHTTPS.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
DropNthBytes,DropNthBytes.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ECDSASign,ECDSASign.mjs,crypto/hash,Medium,Crypto: preferuj WebCrypto; WASM przydatny dla algorytmów poza WebCrypto lub bulk/streaming.
ECDSASignatureConversion,ECDSASignatureConversion.mjs,crypto/hash,Medium,Crypto: preferuj WebCrypto; WASM przydatny dla algorytmów poza WebCrypto lub bulk/streaming.
ECDSAVerify,ECDSAVerify.mjs,crypto/hash,Medium,Crypto: preferuj WebCrypto; WASM przydatny dla algorytmów poza WebCrypto lub bulk/streaming.
ELFInfo,ELFInfo.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Encode all special chars,URLEncode.mjs,parsing/format,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
Encoded hash,Argon2Compare.mjs,crypto/hash,High,KDF (argon2/scrypt/bcrypt/pbkdf) jest CPU‑intensywny; WASM daje stabilną wydajność i bezpieczeństwo implementacji.
Encoding,DecodeText.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
Encoding,EncodeText.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
Encoding,FromBech32.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Endianness,FromFloat.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Endianness,ToFloat.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Enigma,Enigma.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Escape level,EscapeString.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ExtractDomains,ExtractDomains.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ExtractEmailAddresses,ExtractEmailAddresses.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ExtractEXIF,ExtractEXIF.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ExtractFilePaths,ExtractFilePaths.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ExtractFiles,ExtractFiles.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ExtractHashes,ExtractHashes.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ExtractID3,ExtractID3.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ExtractIPAddresses,ExtractIPAddresses.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ExtractLSB,ExtractLSB.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ExtractMACAddresses,ExtractMACAddresses.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Extractor,Register.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ExtractRGBA,ExtractRGBA.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ExtractURLs,ExtractURLs.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
FangURL,FangURL.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Filename,Tar.mjs,compression,High,Kompresja/dekompresja to typowy hot path CPU; duży zysk z WASM (Rust).
FileTree,FileTree.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Find,FindReplace.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Fletcher16Checksum,Fletcher16Checksum.mjs,crypto/hash,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Fletcher32Checksum,Fletcher32Checksum.mjs,crypto/hash,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Fletcher64Checksum,Fletcher64Checksum.mjs,crypto/hash,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Fletcher8Checksum,Fletcher8Checksum.mjs,crypto/hash,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
FlipImage,FlipImage.mjs,media,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Format options,ToMorseCode.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
FromBase32,FromBase32.mjs,encoding/cipher,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
FromBase45,FromBase45.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
FromBase62,FromBase62.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
FromBase64,FromBase64.mjs,encoding/cipher,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
FromBase85,FromBase85.mjs,encoding/cipher,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
FromBase92,FromBase92.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
FromBraille,FromBraille.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
FromCaseInsensitiveRegex,FromCaseInsensitiveRegex.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
FromHex,FromHex.mjs,encoding/cipher,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
FromHexContent,FromHexContent.mjs,encoding/cipher,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
FromHexdump,FromHexdump.mjs,encoding/cipher,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
FromHTMLEntity,FromHTMLEntity.mjs,parsing/format,Low,Parsing tekstowy zwykle OK w JS; WASM tylko po profilowaniu i dla dużych payloadów.
FromMessagePack,FromMessagePack.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
FromModhex,FromModhex.mjs,crypto/hash,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
FromQuotedPrintable,FromQuotedPrintable.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
FuzzyMatch,FuzzyMatch.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
GenerateAllChecksums,GenerateAllChecksums.mjs,crypto/hash,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
GenerateAllHashes,GenerateAllHashes.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
GenerateDeBruijnSequence,GenerateDeBruijnSequence.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
GenerateECDSAKeyPair,GenerateECDSAKeyPair.mjs,crypto/hash,Medium,Crypto: preferuj WebCrypto; WASM przydatny dla algorytmów poza WebCrypto lub bulk/streaming.
GenerateImage,GenerateImage.mjs,media,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
GenerateRSAKeyPair,GenerateRSAKeyPair.mjs,crypto/hash,Medium,Crypto: preferuj WebCrypto; WASM przydatny dla algorytmów poza WebCrypto lub bulk/streaming.
GenerateUUID,GenerateUUID.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
GenericCodeBeautify,GenericCodeBeautify.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
GetAllCasings,GetAllCasings.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
GetTime,GetTime.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
GOSTDecrypt,GOSTDecrypt.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
GOSTEncrypt,GOSTEncrypt.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
GOSTHash,GOSTHash.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
GOSTKeyUnwrap,GOSTKeyUnwrap.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
GOSTKeyWrap,GOSTKeyWrap.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
GOSTSign,GOSTSign.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
GOSTVerify,GOSTVerify.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Gunzip,Gunzip.mjs,compression,High,Kompresja/dekompresja to typowy hot path CPU; duży zysk z WASM (Rust).
Gzip,Gzip.mjs,compression,High,Kompresja/dekompresja to typowy hot path CPU; duży zysk z WASM (Rust).
HAS160,HAS160.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Hash,BcryptCompare.mjs,crypto/hash,High,KDF (argon2/scrypt/bcrypt/pbkdf) jest CPU‑intensywny; WASM daje stabilną wydajność i bezpieczeństwo implementacji.
HASSHClientFingerprint,HASSHClientFingerprint.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
HASSHServerFingerprint,HASSHServerFingerprint.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
HaversineDistance,HaversineDistance.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Header string,HexToPEM.mjs,encoding/cipher,Medium,Parsery binarne (ASN.1/DER/X.509/PKCS) mogą zyskać na WASM przy dużych wejściach.
HeatmapChart,HeatmapChart.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
HexDensityChart,HexDensityChart.mjs,encoding/cipher,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
HexToObjectIdentifier,HexToObjectIdentifier.mjs,encoding/cipher,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
HTMLToText,HTMLToText.mjs,parsing/format,Low,Parsing tekstowy zwykle OK w JS; WASM tylko po profilowaniu i dla dużych payloadów.
Human-Readable Part (HRP),ToBech32.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Ignore ranges,IPv6TransitionAddresses.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Image Format,GenerateQRCode.mjs,media,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ImageBrightnessContrast,ImageBrightnessContrast.mjs,media,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ImageFilter,ImageFilter.mjs,media,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ImageHueSaturationLightness,ImageHueSaturationLightness.mjs,media,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ImageOpacity,ImageOpacity.mjs,media,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Include network info,ParseIPRange.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Indent string,CSSBeautify.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Indent string,JavaScriptBeautify.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Indent string,SQLBeautify.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Indent string,XMLBeautify.mjs,parsing/format,Low,Parsing tekstowy zwykle OK w JS; WASM tylko po profilowaniu i dla dużych payloadów.
IndexOfCoincidence,IndexOfCoincidence.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Input format,ChangeIPFormat.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Input Format,ConvertCoordinateFormat.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Input format,ParseCSR.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Input format,ParseIPv4Header.mjs,parsing/format,Medium,Parsery binarne (ASN.1/DER/X.509/PKCS) mogą zyskać na WASM przy dużych wejściach.
Input format,ParseX509CRL.mjs,parsing/format,Medium,Parsery binarne (ASN.1/DER/X.509/PKCS) mogą zyskać na WASM przy dużych wejściach.
Input format,ParseX509Certificate.mjs,parsing/format,Medium,Parsery binarne (ASN.1/DER/X.509/PKCS) mogą zyskać na WASM przy dużych wejściach.
Input format,PlayMedia.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Input format,RenderImage.mjs,parsing/format,Medium,Parsery binarne (ASN.1/DER/X.509/PKCS) mogą zyskać na WASM przy dużych wejściach.
Input Format,SM2Decrypt.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Input units,ConvertArea.mjs,compression,High,Kompresja/dekompresja to typowy hot path CPU; duży zysk z WASM (Rust).
Input units,ConvertDataUnits.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Input units,ConvertDistance.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Input units,ConvertMass.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Input units,ConvertSpeed.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Input units,UNIXTimestampToWindowsFiletime.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Internationalised domain name,FromPunycode.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Internationalised domain name,ToPunycode.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
InvertImage,InvertImage.mjs,media,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
JA3Fingerprint,JA3Fingerprint.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
JA3SFingerprint,JA3SFingerprint.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
